Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
smallset/skew01/part01,1,247.26,0,245.84,13763486720.00,48442.09,23402887168.00,15700848640.00,310634620,178007372,0,0,0,178001926,0
smallset/sorted01/part01,1,165.22,0,163.80,13632088064.00,46846.20,21994661888.00,13070606336.00,295907393,178010324,0,0,0,178002910,0
smallset/skew02/part01,2,148.76,0,147.31,15166773248.00,193616.70,22564052992.00,9295133696.00,145212084,89004217,595434,348379,0,89001133,0
smallset/skew02/part02,2,148.76,1,147.53,15649050624.00,159077.12,22716088320.00,9326266368.00,144971548,89003146,667162,372509,0,89000765,0
smallset/sorted02/part01,2,119.83,0,118.42,12801299456.00,122899.26,19127812096.00,21759811584.00,137378425,89004323,710715,15149815,0,89001158,0
smallset/sorted02/part02,2,119.83,1,118.61,12737617920.00,285226.97,19380539392.00,22251515904.00,137561412,89003424,538106,15563988,0,89000844,0
smallset/skew04/part01,4,94.61,0,93.47,12005051392.00,360933.22,20016476160.00,5641969152.00,78822437,44502232,4519214,382009,0,44500592,3
smallset/skew04/part02,4,94.61,1,91.09,11517845504.00,503528.53,19467137024.00,5627691008.00,78673941,44502234,3254334,433608,0,44500601,0
smallset/skew04/part03,4,94.61,2,92.24,11883558912.00,230641.31,19612878848.00,5629787648.00,78652685,44501149,4952115,378871,0,44500234,1
smallset/skew04/part04,4,94.61,3,92.26,11417331712.00,375901.72,19312625664.00,5594921984.00,78733821,44502034,3404979,373622,0,44500527,0
smallset/sorted04/part01,4,81.85,0,80.70,12329713664.00,301677.38,18268999680.00,15615886336.00,70670377,44501864,4735205,11404500,0,44500479,1
smallset/sorted04/part02,4,81.85,1,80.32,12261552128.00,296429.97,18333483008.00,14390100992.00,70818791,44501538,4277057,10250332,0,44500375,0
smallset/sorted04/part03,4,81.85,2,79.21,12579990528.00,13413.97,18475991040.00,13646286848.00,69408730,44500001,3525654,9547334,0,44499860,1
smallset/sorted04/part04,4,81.85,3,74.79,12381549568.00,763474.75,18306492416.00,10029774848.00,68124133,44504302,3652568,5895589,0,44501290,0
smallset/skew08/part01,8,68.11,0,66.93,16804041728.00,386037.34,22835826688.00,3570055680.00,38566955,22250989,9423193,382205,0,22250246,0
smallset/skew08/part02,8,68.11,1,66.51,16723067904.00,387781.47,22594729984.00,3548110592.00,38548794,22251143,9316507,389103,0,22250295,1
smallset/skew08/part03,8,68.11,2,66.78,16708055040.00,577731.44,22815541248.00,3594717184.00,38560076,22251668,8753156,413008,0,22250478,0
smallset/skew08/part04,8,68.11,3,65.73,16870002688.00,244369.44,22600587264.00,3541758464.00,38467289,22250533,9071900,411585,0,22250095,0
smallset/skew08/part05,8,68.11,4,66.49,16652954624.00,185655.41,22442160128.00,3546499072.00,38490609,22250522,8658111,387390,0,22250090,0
smallset/skew08/part06,8,68.11,5,66.80,17100442624.00,328423.22,22998712320.00,3535345664.00,38568674,22250743,9124310,385315,0,22250160,1
smallset/skew08/part07,8,68.11,6,66.54,16885807104.00,348887.50,22580406272.00,3563991552.00,38550621,22250902,8538256,359247,0,22250218,1
