Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
smallset/skew01/part01,1,267.86,0,266.24,13560887296.00,47555.22,48327847936.00,13009230848.00,621267229,178007372,0,0,0,0,178001926
smallset/sorted01/part01,1,193.07,0,191.62,13445999616.00,46322.04,43587903488.00,12948666368.00,591812300,178010324,0,0,0,0,178002910
smallset/skew02/part01,2,163.61,0,161.73,14987672576.00,218534.17,36924383232.00,6942664704.00,289219129,89004277,1056214,229429,0,0,89001151
smallset/skew02/part02,2,163.61,1,162.36,14815749120.00,150748.94,36793143296.00,6951757312.00,288642797,89003120,1068706,235630,0,0,89000761
smallset/sorted02/part01,2,138.63,0,136.80,13230794752.00,638733.38,35604545536.00,16273128448.00,288203387,89007287,520102,9811477,0,0,89002142
smallset/sorted02/part02,2,138.63,1,137.39,13150966784.00,82396.62,35807186944.00,17339123712.00,289563122,89000980,412069,11102403,0,0,89000026
smallset/skew04/part01,4,110.62,0,109.26,11415287808.00,714558.56,31638738944.00,4013006592.00,157801195,44502190,4401171,262418,0,0,44500585
smallset/skew04/part02,4,110.62,1,109.32,11510113280.00,1013383.00,32248498176.00,4077741056.00,158102793,44502137,3658774,278074,0,0,44500573
smallset/skew04/part03,4,110.62,2,108.84,11373363200.00,331933.25,31864590336.00,4031745536.00,157597182,44501136,3721344,274160,0,0,44500233
smallset/skew04/part04,4,110.62,3,108.85,11215660032.00,710715.62,31432769536.00,4003487744.00,157928077,44502161,3500348,258326,0,0,44500573
smallset/sorted04/part01,4,102.44,0,101.29,11711282176.00,559079.75,27317841920.00,22968068096.00,138607497,44502101,2678823,18688046,0,0,44500528
smallset/sorted04/part02,4,102.44,1,99.78,11563462656.00,604594.75,27033982976.00,21109307392.00,137154005,44502846,2899978,16694099,0,0,44500790
smallset/sorted04/part03,4,102.44,2,100.76,11740172288.00,175903.62,27261597696.00,23046834176.00,138437353,44500736,3052312,18798464,0,0,44500083
smallset/sorted04/part04,4,102.44,3,101.12,11656166400.00,787605.38,27458170880.00,22029746176.00,138510371,44502357,2944987,17417446,0,0,44500599
smallset/skew08/part01,8,82.32,0,80.58,12799772672.00,479847.44,33209933824.00,2455430656.00,77133346,22250995,8746319,273865,0,0,22250248
smallset/skew08/part02,8,82.32,1,80.84,12929986560.00,513433.47,33547769856.00,2478395392.00,77186807,22251145,9130693,276011,0,0,22250299
smallset/skew08/part03,8,82.32,2,81.12,13012907008.00,895774.31,34155128832.00,2446265600.00,77171368,22251742,8596364,291775,0,0,22250500
smallset/skew08/part04,8,82.32,3,80.06,13333915648.00,410242.53,33587570688.00,2487181568.00,77078010,22250628,9038495,288460,0,0,22250127
